year,summer_observation_days,summer_mean_daily_max_c,summer_peak_max_c,days_ge_33c,days_ge_35c,monitoring_period_start,monitoring_period_end,monitoring_observation_days,monitoring_mean_max_apparent_c,monitoring_peak_max_apparent_c,monitoring_mean_daily_max_c,monitoring_peak_daily_max_c,monitoring_mean_relative_humidity_pct,monitoring_heatwave_days,monitoring_warning_flag_days,monitoring_tropical_night_days,monitoring_uv_high_or_above_days,heatwave_advisory_new_announcements,heatwave_warning_new_announcements,heatwave_advisory_duration_hours,heatwave_warning_duration_hours,tropical_night_announcements,heat_illness_patients,heat_illness_deaths,daegu_population,daegu_elderly_population,daegu_elderly_ratio_pct
2017,92,31.42,38.4,31,18,,,,,,,,,,,,,,,,,,,,,,
2018,92,31.61,39.2,40,29,,,,,,,,,,,,,,,,,,,,,,
2019,92,30.27,36.9,27,14,,,,,,,,,,,,,,,,,,,,,,
2020,92,30.21,37.0,31,12,2020-05-01,2020-09-30,153,28.54,35.8,28.47,37.0,70.09,29,38,16,97,3,1,147.08,516.0,,26,0,2418346,400494,16.56
2021,92,30.41,37.2,23,9,2021-05-01,2021-09-30,153,28.28,36.0,28.39,37.2,68.82,17,36,9,97,1,,282.0,565.0,,32,0,2385412,417060,17.48
2022,92,31.18,37.8,40,14,2022-05-01,2022-09-30,153,29.31,37.2,29.57,37.8,71.66,39,58,28,110,8,2,570.5,615.5,,29,0,2363691,435698,18.43
2023,92,30.88,37.7,26,5,2023-05-01,2023-09-30,153,28.89,36.1,29.11,37.7,71.97,22,51,11,103,10,,590.5,456.5,,59,1,2374960,466338,19.64
2024,92,32.17,37.2,45,20,2024-05-01,2024-09-30,153,29.81,36.2,30.62,37.2,67.38,44,71,36,0,6,,581.5,1007.5,,67,1,2363629,493256,20.87
2025,92,32.56,37.4,48,29,2025-05-01,2025-09-30,153,29.32,36.2,30.05,37.4,67.97,45,65,27,0,7,,540.5,932.17,,140,0,2353032,519405,22.07
2026,,,,,,2026-05-01,2026-07-29,90,28.32,35.8,29.71,38.1,61.62,18,0,16,0,5,,38.5,264.0,5,49,0,,,
