adm_cd,district,dong,area_km2,green_ratio_pct,impervious_ratio_pct,elderly_ratio_pct_district,cooling_shelter_total,cooling_shelter_operating,cooling_shelter_anyone,cooling_shelter_capacity,cooling_shelter_density_per_10km2,cooling_shelter_accessible_ratio_pct,shade_shelter_count_district,shade_shelter_density_per_10km2_district,summer_mobility_weekly_avg_district,summer_mobility_per_resident_district,uv_published_at,uv_h3,uv_h6,uv_h24,component_impervious_risk,component_green_deficit,component_elderly_sensitivity,component_cooling_shelter_density_deficit,component_cooling_shelter_access_deficit,component_shade_shelter_density_deficit,normalized_component_count,normalized_score_sum,normalized_score_mean,score_component_coverage,score,risk_level,core_data_complete
22010540,중구,삼덕동,0.6439,5.9181,87.5782,19.65,8,8,5,223.0,124.2459,62.5,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.8868,0.9428,0.1416,0.4891,0.375,0.0,6,2.8353,0.4726,1.0,47.26,low,True
22010560,중구,성내1동,0.7753,2.7604,91.56,19.65,7,7,5,390.0,90.2822,71.43,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9279,0.9784,0.1416,0.6293,0.2857,0.0,6,2.9629,0.4938,1.0,49.38,low,True
22010590,중구,성내2동,0.9399,5.2182,90.2782,19.65,9,9,5,354.0,95.7552,55.56,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9147,0.9507,0.1416,0.6067,0.4444,0.0,6,3.0581,0.5097,1.0,50.97,low,True
22010610,중구,성내3동,0.7503,18.1477,76.501,19.65,6,6,3,412.0,79.9706,50.0,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.7724,0.8046,0.1416,0.6719,0.5,0.0,6,2.8905,0.4817,1.0,48.17,low,True
22010620,중구,대신동,0.4939,7.2297,89.5031,19.65,8,8,3,315.0,161.9827,37.5,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9067,0.928,0.1416,0.3333,0.625,0.0,6,2.9346,0.4891,1.0,48.91,low,True
22010640,중구,남산1동,0.3842,3.5709,90.6915,19.65,6,6,3,237.0,156.1507,50.0,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9189,0.9693,0.1416,0.3574,0.5,0.0,6,2.8872,0.4812,1.0,48.12,low,True
22010650,중구,남산2동,0.3743,5.9954,91.2349,19.65,8,8,3,453.0,213.7338,37.5,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9245,0.9419,0.1416,0.1197,0.625,0.0,6,2.7527,0.4588,1.0,45.88,low,True
22010660,중구,남산3동,0.4023,14.718,77.1774,19.65,5,5,2,235.0,124.2778,40.0,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.7794,0.8434,0.1416,0.489,0.6,0.0,6,2.8534,0.4756,1.0,47.56,low,True
22010670,중구,남산4동,0.4532,18.3991,79.994,19.65,11,11,3,134.0,242.7411,27.27,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.8085,0.8018,0.1416,0.0,0.7273,0.0,6,2.4792,0.4132,1.0,41.32,low,True
22010680,중구,대봉1동,0.5542,7.5008,82.5537,19.65,5,5,1,130.0,90.2233,20.0,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.8349,0.9249,0.1416,0.6295,0.8,0.0,6,3.3309,0.5552,1.0,55.52,moderate,True
22010690,중구,대봉2동,0.2824,2.9428,89.2561,19.65,5,5,1,90.0,177.0837,20.0,92,130.5217,266379.77,3.0776,2026072806,5.0,8.0,2.0,0.9041,0.9764,0.1416,0.271,0.8,0.0,6,3.0931,0.5155,1.0,51.55,low,True
22010700,중구,동인동,0.9948,7.3724,83.8117,19.65,10,10,6,251.0,100.5232,60.0,92,130.5217,266379.77,3.0776,2026072806,5.0,7.0,2.0,0.8479,0.9263,0.1416,0.587,0.4,0.0,6,2.9028,0.4838,1.0,48.38,low,True
22020510,동구,신암1동,0.6178,9.922,88.6966,22.15,2,2,1,22.0,32.3733,50.0,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.8983,0.8975,0.22,0.8683,0.5,0.9961,6,4.3802,0.73,1.0,73.0,critical,True
22020520,동구,신암2동,0.3604,14.2586,84.1365,22.15,3,3,2,118.0,83.2354,66.67,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.8512,0.8485,0.22,0.6584,0.3333,0.9961,6,3.9075,0.6512,1.0,65.12,critical,True
22020530,동구,신암3동,0.6021,7.6912,85.2598,22.15,5,5,3,180.0,83.0361,60.0,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.8628,0.9227,0.22,0.6592,0.4,0.9961,6,4.0608,0.6768,1.0,67.68,critical,True
22020540,동구,신암4동,1.1493,12.0355,78.3245,22.15,5,5,3,209.0,43.5049,60.0,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.7912,0.8737,0.22,0.8224,0.4,0.9961,6,4.1034,0.6839,1.0,68.39,critical,True
